opt_vel,objective_value,jump_d,jump_c,jump_b,jump_a
3.000267812,45.12153355,1.765776058,3.225824317,3.188161364,1.111737303
3.001273542,38.7530489,1.509757529,1.924308517,4.281405488,0.605609266
3.009633299,52.64264476,1.307498803,3.495975306,3.941809455,1.207295284
3.010515994,40.09194752,1.622577062,2.230638077,3.804975305,0.972750261
3.010739271,32.62574146,1.357295972,1.333404243,4.658974934,1.002414435
3.012961032,37.41090183,2.248909227,2.283353402,3.52460972,1.560273111
3.013716841,49.92277561,1.27541641,3.790695797,3.262109418,1.175425446
3.015005501,51.03312807,2.356507912,3.830958216,4.857864547,0.073942392
3.015370931,28.86818501,1.283344912,1.641330233,3.82819774,1.178268437
3.015694522,42.98773181,0.935905252,2.432037928,4.654326277,0.831423866
3.018632885,31.67592277,1.507849197,1.60296856,4.022321689,0.928598113
3.018726826,36.66812157,1.363052503,2.084824722,3.087286786,1.161669905
3.019116545,40.72105164,1.21060458,2.897121156,4.292700955,0.457635141
3.020141034,42.19439105,1.794986552,3.373090301,3.964600057,0.616570608
3.021772549,43.01820662,1.168394689,3.572293718,3.358660194,0.944920036
3.024605733,32.99348771,0.890966489,1.381348174,4.630678191,0.714363115
3.029847435,29.53204148,1.510469683,1.661402487,3.659956297,0.857883075
3.031698861,31.93625486,0.883906765,2.24207694,3.488713334,0.806850261
3.032042174,40.55557936,0.999127603,3.386922113,3.922823512,0.536315837
3.032210383,28.91510851,1.72201461,1.975195792,3.688123787,0.987381672
3.035893751,26.0450373,1.429782635,1.736905144,4.049913675,1.245902105
3.036734628,34.15922352,1.375864143,2.149054674,3.622468252,1.458093466
3.037605712,37.1596276,2.132583125,3.214247157,4.932827142,0.354776966
3.041857573,31.26928824,0.965934759,1.853589355,4.214215656,0.649743602
3.043048755,41.27206927,0.914194972,3.147614209,2.983431825,0.782820811
3.04367865,38.2141062,0.768366454,2.765140478,3.879060937,0.975220249
3.045894801,26.04927364,0.966078266,1.728217503,4.002549694,1.027594502
3.050142066,27.27938088,1.318733033,1.830812683,3.596683299,0.823731677
3.052238597,35.2748926,1.831166463,3.353554502,4.014131145,0.305833744
3.054871409,37.82571438,2.006982023,3.325558666,4.537899151,0.654893012
3.058370037,33.29309966,1.585868311,2.594941889,3.368473248,0.958571759
3.059916474,22.98158674,1.148745096,1.368278062,4.183859689,0.786947309
3.062972637,24.40139643,1.642763249,1.918532776,3.4521152,1.099431053
3.064252465,25.73951586,1.382841831,2.244837665,4.182906429,0.875258006
3.06760262,24.07920482,1.021309778,2.255151707,4.308011134,0.682166961
