opt_vel,objective_value,jump_d,jump_c,jump_b,jump_a
4.399052355,1739.533505,2.790611727,-0.5940924,0.758009165,-4.847074849
4.424037857,520.4013669,1.784263862,1.729198333,2.956917482,-1.384624491
4.444193333,233.0187777,1.524402028,3.397308355,2.017366841,-2.029070476
4.445261314,235.2697369,1.638978623,2.933626582,1.089174682,-4.642926651
4.709885452,7772.57113,1.639084629,-4.003896894,4.578884691,3.740910428
5.042937075,446.9209265,1.485121808,3.802011526,0.515511712,-4.504352718
5.149570544,440.1456409,2.513642855,3.625922209,0.315893028,-4.109640543
5.186105656,484.3932748,1.959650686,3.387407585,0.578703366,3.486367709
5.394517418,1338.185486,1.028724837,1.605162334,-4.416593737,-4.692345242
5.398944115,11617.06259,0.061927127,-4.91390077,-4.785102645,4.851238985
5.47046621,1687.883479,2.357122693,0.360837102,-3.191408558,-2.734623978
5.609816441,572.3808885,2.959959,2.498191494,3.284940687,-4.100880121
5.716929357,2605.993804,0.797641485,4.991147557,-0.118383003,-4.911451546
5.732907927,2462.243544,0.437891157,4.775429511,-4.729786755,1.413568204
5.911642623,536.9874392,2.742880699,2.368646133,-4.502805726,3.680141038
5.951098657,778.4458623,2.035186927,1.195039661,-3.025269558,0.868066059
5.963951065,10356.37929,3.16877004,-4.468578306,4.937022146,-4.776044006
