opt_vel,objective_value,jump_d,jump_c,jump_b,jump_a,height
3.521129641,20.78753874,1.048247398,2.799663217,4.611463331,0.799294667,0.4
3.460592955,20.93924579,1.042254467,1.948418235,4.460117117,-0.058652614,0.4
3.498730678,22.28932224,1.778222311,2.665066727,4.911163253,2.113783038,0.4
3.527054246,22.31454887,1.807344614,2.585569038,4.894307889,2.017969414,0.4
3.48242983,23.86431949,1.191818747,2.553037101,4.528635173,0.66508466,0.4
3.418618585,24.37030162,0.970337765,1.67442877,4.441281838,0.014215973,0.4
3.469826892,24.43531766,1.098095032,2.136325842,3.952422295,0.290390746,0.4
3.492384544,26.31619,1.329052505,2.372706942,4.432857897,-0.592422999,0.4
3.488251672,27.87533464,0.236900201,2.407220442,4.912713549,0.35342547,0.4
3.538261914,28.19726912,0.414486027,2.820184503,3.712617089,-0.322157593,0.4
3.508940804,28.40585657,1.012029995,2.228222422,3.948189277,0.263246131,0.4
3.482833039,28.47136094,1.087399301,2.819879842,3.796368844,0.130960599,0.4
3.491506619,29.54061998,0.908697125,2.708081841,4.746929336,0.420803061,0.4
3.5274037,29.7389608,1.836006436,2.654260049,4.980233108,1.845130181,0.4
3.570995859,30.30271805,0.89840335,3.004130185,4.84240699,0.595552628,0.4
3.469795621,31.21708901,1.120037349,2.322377011,4.214273121,0.239233139,0.4
3.504935776,31.44756712,1.116924464,2.742531006,4.37272502,0.732480086,0.4
3.553134501,31.63828244,1.181663554,2.575535642,4.651455516,0.58329486,0.4
3.524838468,31.69762414,0.63892489,3.014959445,4.82631533,0.636834263,0.4
3.508664649,31.92158244,1.185405188,2.58880921,4.581461491,0.265595917,0.4
3.455166223,32.11957961,0.73302771,1.936101973,4.786062276,-0.254379171,0.4
3.539642403,33.11951447,0.460032066,2.842811635,3.432260927,-0.639099844,0.4
3.523868725,33.51811222,1.443251004,2.628777943,4.283231801,-0.619452368,0.4
3.529226297,33.72556025,0.833571525,2.739584283,4.806593024,0.492359976,0.4
3.573139495,34.84832836,0.946764364,3.303310106,3.516158277,0.310403927,0.4
