opt_vel,objective_value,jump_d,jump_c,jump_b,jump_a
2.077736052,93.03856526,0.027624264,3.61369088,-0.787166341,3.893118165
2.100864761,536.2761652,0.621936158,4.677643272,1.147983625,-3.843276698
2.152226758,67.67949221,0.851047786,2.934507248,2.175546851,-3.044228081
2.157647577,70.09123884,0.930215104,3.579867926,2.97284525,0.23270698
2.177603672,63.82070516,1.256476535,3.329340231,-0.611235571,1.556120992
2.187955849,64.95030938,0.368700564,3.045411595,3.160217804,0.425629754
2.194309741,62.69656614,0.614886591,2.294423392,4.908016106,0.348677593
2.209340358,60.9433103,0.878340494,2.73874216,-1.659634742,4.382933715
2.216729327,4820.135885,3.392648787,-2.821989776,0.197850868,-1.360390035
2.22756364,70.49345594,0.250213764,3.667189531,2.155394376,-0.511290293
2.260936651,54.07490821,0.722868968,3.190884491,2.280643036,-3.944189785
2.28474465,54.55308074,0.607291827,3.099649446,-0.770736248,0.784837997
2.303774723,51.71727615,0.358290971,3.495905039,2.499927423,0.996076161
2.319976947,181.6242882,0.094189828,4.044952732,2.375240471,0.182829176
2.330974626,49.16886443,0.568350934,3.02121034,1.662517332,-2.020824658
2.333151678,43.57012391,1.660721727,3.099641536,2.927491076,-1.407713958
2.356375497,39.83353639,0.647489095,3.038858164,1.373892116,0.485008174
2.358913248,39.9029219,0.468901646,3.030205868,0.016766175,1.260528615
2.366273869,40.884621,0.301048444,3.426399661,2.583056878,-0.183835598
2.382562757,41.58799119,0.605030645,2.709478644,3.288709202,0.14745276
2.382599863,40.00004581,0.642291972,2.628806598,4.995844813,1.196527248
2.386095526,40.73943911,0.333187527,3.241771372,1.984877256,-0.924457543
2.408537784,32.83723752,0.657917441,3.120453038,2.454665761,-0.933130513
2.410277257,32.86094183,0.051656978,2.660634638,4.188981575,0.47529342
2.419289347,34.99405432,2.10311402,3.115055703,3.217031166,-1.65941431
2.428086052,29.10589998,0.800270501,2.620500692,3.838316682,-0.160634841
2.429579834,30.89580022,0.315440865,3.388902423,2.368664411,-0.854209368
2.445722029,31.07729468,1.350159924,2.509968432,3.660447794,-0.78848348
2.453129931,27.86933545,0.503124313,3.38061964,2.78021956,0.542207154
2.469205359,30.74530037,0.746530843,2.989080137,2.845410442,-1.765262764
2.471404926,31.26386606,0.481103134,3.59556367,2.891685252,-1.04429121
2.479818723,25.17630673,1.58639645,2.6973636,3.217220868,-0.240138326
2.482228735,27.24980345,1.093030773,2.942305208,2.35780102,-2.669060777
2.483646555,24.53387708,1.025054898,3.283668353,2.848668255,-2.647634697
2.487702751,25.26312888,1.146357553,3.122408379,2.407806315,-3.19033324
2.491315344,22.85187321,0.864709868,3.3946952,2.384242027,-1.162635073
2.493556347,22.60715743,0.699935635,3.418485867,2.402071264,-2.118297363
2.498839743,25.23406651,0.652806,3.09448168,2.321608398,-2.048868993
2.499555872,25.60641272,1.782740402,3.375235326,2.715267353,-1.400787841
2.503370821,22.60641695,0.90902013,3.073931562,1.861723372,-2.434737969
2.507983605,23.35415431,0.554632645,2.771231173,1.704055637,-1.836645279
2.511619657,16.72215728,1.324132272,2.644928338,3.544802892,0.285089518
2.513229805,18.42540983,0.999272113,3.031960818,2.614605145,-1.957468021
2.513611644,16.5938222,0.387197659,2.572376864,4.410024771,0.997285164
2.513690225,21.78623527,0.26909583,3.297728252,2.673793895,0.421697355
2.516454453,23.8662258,0.443564942,2.92949269,1.922537372,-1.157810042
2.522192315,21.69540145,1.056314556,2.743680908,1.602769416,-1.930275232
2.524723956,24.32574252,0.615009088,3.373157787,2.709813268,-0.848959017
2.524813789,23.36619674,0.405831355,3.25007877,1.997077743,-0.586059792
2.525668228,19.99402807,0.720806506,3.268599023,2.683730743,-0.484020409
2.528865981,19.26127985,2.168397756,3.114128668,3.041369436,-1.350987501
2.530976379,21.5773262,0.868547661,2.836976299,3.847755075,0.330994564
2.531111602,25.16823617,0.386713588,3.564696908,-0.929100176,2.267533656
2.533916051,15.14084808,0.884336074,3.125493194,2.360805673,-2.56400587
2.535043394,15.32458177,0.94524409,3.044269414,2.637817457,-1.623086556
2.53551411,101.7054856,0.632408846,3.941997195,3.579634134,-1.8962511
2.537014868,18.37584906,0.524571246,2.925580999,2.860817622,0.051762179
2.544754566,16.24434807,0.461130234,2.506182328,0.849066092,-1.323420887
2.546285945,14.46210608,1.154491786,3.227698017,2.436179116,-2.01024105
2.551181247,19.64059204,0.56594766,3.196480857,2.588134314,-2.331513769
2.562659452,16.52054924,0.536133446,2.932798818,2.861526579,0.249200762
2.565505393,12.27672898,0.474567453,2.807852029,4.036057106,0.013142122
2.567386309,14.75359802,1.779699971,2.571149265,3.492077567,-0.883287597
2.569913957,13.26705924,0.817198901,2.9137385,2.718150331,-0.062179757
2.570218314,11.74692098,0.71037357,3.144905547,-0.258334237,1.11116588
2.572234867,12.62553357,0.812216967,3.366701454,2.776857326,-2.262105862
2.572366107,14.04739534,0.558822198,3.380117191,2.533848906,-0.455593505
2.573404675,11.34091135,0.747288744,3.081715003,-0.229320397,1.256458365
