{'opt_vel': '3.534757304', 'objective_value': '43.88941689', 'jump_d': '1.062878465', 'jump_c': '2.392602709', 'jump_b': '4.132814664', 'jump_a': '0.428472062'}
{'opt_vel': '3.439163767', 'objective_value': '44.49581098', 'jump_d': '0.898564468', 'jump_c': '2.793420957', 'jump_b': '4.928691751', 'jump_a': '0.927914116'}
{'opt_vel': '3.57560349', 'objective_value': '44.5327268', 'jump_d': '0.613611395', 'jump_c': '2.883488469', 'jump_b': '3.480802564', 'jump_a': '-0.108378147'}
{'opt_vel': '3.44002826', 'objective_value': '45.79450799', 'jump_d': '0.035809798', 'jump_c': '2.42513353', 'jump_b': '4.777929379', 'jump_a': '0.231027681'}
{'opt_vel': '3.498059224', 'objective_value': '45.83816263', 'jump_d': '1.013689437', 'jump_c': '2.054433761', 'jump_b': '4.335039751', 'jump_a': '-0.055003114'}
{'opt_vel': '3.588464716', 'objective_value': '45.92672332', 'jump_d': '0.553509905', 'jump_c': '2.834815031', 'jump_b': '3.754933359', 'jump_a': '-0.024132646'}
{'opt_vel': '3.538279689', 'objective_value': '46.18090194', 'jump_d': '1.17335391', 'jump_c': '2.564383934', 'jump_b': '4.196739247', 'jump_a': '0.604477931'}
{'opt_vel': '3.460887299', 'objective_value': '46.48111725', 'jump_d': '1.125141155', 'jump_c': '2.588896095', 'jump_b': '4.47626931', 'jump_a': '0.921673545'}
{'opt_vel': '3.587295037', 'objective_value': '46.81035694', 'jump_d': '1.077660992', 'jump_c': '2.554744701', 'jump_b': '4.522486789', 'jump_a': '0.720394717'}
{'opt_vel': '3.604941537', 'objective_value': '48.00005731', 'jump_d': '1.081212432', 'jump_c': '2.755580262', 'jump_b': '4.463782835', 'jump_a': '0.776757152'}
{'opt_vel': '3.53052009', 'objective_value': '48.79905437', 'jump_d': '1.227225041', 'jump_c': '2.039025609', 'jump_b': '4.539123978', 'jump_a': '0.236497462'}
{'opt_vel': '3.553870695', 'objective_value': '50.16944239', 'jump_d': '1.366676276', 'jump_c': '2.514409722', 'jump_b': '4.11322742', 'jump_a': '0.162036731'}
{'opt_vel': '3.581087044', 'objective_value': '50.50534673', 'jump_d': '0.617088443', 'jump_c': '2.804536426', 'jump_b': '4.683808288', 'jump_a': '0.605594214'}
{'opt_vel': '3.393720453', 'objective_value': '50.88874337', 'jump_d': '1.30383816', 'jump_c': '2.347401951', 'jump_b': '4.572253413', 'jump_a': '0.41853072'}
{'opt_vel': '3.479797177', 'objective_value': '51.5315255', 'jump_d': '1.640927599', 'jump_c': '2.791033898', 'jump_b': '4.549936476', 'jump_a': '-0.453669193'}
{'opt_vel': '3.450048547', 'objective_value': '51.94690376', 'jump_d': '0.504029281', 'jump_c': '2.945049971', 'jump_b': '3.447902006', 'jump_a': '-0.627156325'}
{'opt_vel': '3.543405042', 'objective_value': '52.36951594', 'jump_d': '2.11387806', 'jump_c': '2.260092563', 'jump_b': '4.995067219', 'jump_a': '1.060573637'}
{'opt_vel': '3.620933974', 'objective_value': '52.45256397', 'jump_d': '0.894027908', 'jump_c': '2.714627736', 'jump_b': '4.801776281', 'jump_a': '0.756023353'}
{'opt_vel': '3.385531322', 'objective_value': '53.03997275', 'jump_d': '1.231548232', 'jump_c': '1.984719596', 'jump_b': '4.672003545', 'jump_a': '-0.06599886'}
{'opt_vel': '3.619629443', 'objective_value': '53.92662708', 'jump_d': '0.867037268', 'jump_c': '3.226026495', 'jump_b': '3.742086083', 'jump_a': '0.157611352'}
{'opt_vel': '3.63078199', 'objective_value': '54.11519027', 'jump_d': '1.263844875', 'jump_c': '2.787364253', 'jump_b': '4.175092687', 'jump_a': '0.249172828'}
{'opt_vel': '3.503877615', 'objective_value': '55.33285492', 'jump_d': '0.698567464', 'jump_c': '3.238920975', 'jump_b': '4.811242178', 'jump_a': '0.645071476'}
{'opt_vel': '3.637964908', 'objective_value': '55.46613924', 'jump_d': '2.203098296', 'jump_c': '2.746292676', 'jump_b': '4.933068577', 'jump_a': '2.386637036'}
{'opt_vel': '3.419577207', 'objective_value': '55.92661345', 'jump_d': '0.29633525', 'jump_c': '2.69375878', 'jump_b': '3.543333823', 'jump_a': '-0.880012198'}
{'opt_vel': '3.308682839', 'objective_value': '59.94697371', 'jump_d': '1.023015371', 'jump_c': '1.723263168', 'jump_b': '4.296185498', 'jump_a': '-0.26306148'}
{'opt_vel': '3.389092606', 'objective_value': '60.79668854', 'jump_d': '1.152314067', 'jump_c': '2.366030431', 'jump_b': '4.313503193', 'jump_a': '0.594059496'}
{'opt_vel': '3.461844767', 'objective_value': '62.1549878', 'jump_d': '1.793812837', 'jump_c': '2.756375509', 'jump_b': '4.983896792', 'jump_a': '2.497595761'}
{'opt_vel': '3.596758968', 'objective_value': '62.18434088', 'jump_d': '2.064809846', 'jump_c': '2.400265945', 'jump_b': '4.948947517', 'jump_a': '2.165106225'}
{'opt_vel': '3.433323846', 'objective_value': '62.20988574', 'jump_d': '0.065407702', 'jump_c': '2.626685803', 'jump_b': '3.453426301', 'jump_a': '-0.293174168'}
{'opt_vel': '3.388384449', 'objective_value': '62.91425293', 'jump_d': '0.645531997', 'jump_c': '2.184001845', 'jump_b': '4.890798397', 'jump_a': '0.023546062'}
{'opt_vel': '3.363861569', 'objective_value': '65.63320682', 'jump_d': '1.382974395', 'jump_c': '2.234726852', 'jump_b': '4.23904507', 'jump_a': '-0.210761677'}
{'opt_vel': '3.348183111', 'objective_value': '65.88662161', 'jump_d': '1.063369284', 'jump_c': '2.176274559', 'jump_b': '4.460994888', 'jump_a': '0.367878065'}
{'opt_vel': '3.618035316', 'objective_value': '66.10536002', 'jump_d': '0.44633142', 'jump_c': '2.705073626', 'jump_b': '3.896988986', 'jump_a': '-0.284965286'}
{'opt_vel': '3.387727659', 'objective_value': '67.39394415', 'jump_d': '1.278807016', 'jump_c': '2.401479846', 'jump_b': '4.58626008', 'jump_a': '0.169582891'}
{'opt_vel': '3.329515967', 'objective_value': '68.57445646', 'jump_d': '2.191340366', 'jump_c': '2.128428943', 'jump_b': '4.871103953', 'jump_a': '1.983317565'}
{'opt_vel': '3.34512325', 'objective_value': '69.06143986', 'jump_d': '1.033716983', 'jump_c': '2.241946556', 'jump_b': '4.78074168', 'jump_a': '-0.04891157'}
{'opt_vel': '3.341032116', 'objective_value': '69.2117787', 'jump_d': '2.006286232', 'jump_c': '2.035127014', 'jump_b': '4.900469999', 'jump_a': '1.335288553'}
{'opt_vel': '3.347784348', 'objective_value': '69.5569251', 'jump_d': '1.718007716', 'jump_c': '2.175658812', 'jump_b': '4.888681303', 'jump_a': '0.768190443'}
{'opt_vel': '3.403112197', 'objective_value': '71.78155196', 'jump_d': '1.263474412', 'jump_c': '2.760032106', 'jump_b': '4.688079977', 'jump_a': '0.694677785'}
{'opt_vel': '3.383528689', 'objective_value': '72.6002925', 'jump_d': '1.429436928', 'jump_c': '2.625392961', 'jump_b': '4.0042902', 'jump_a': '0.104867574'}
{'opt_vel': '3.423649228', 'objective_value': '73.56650376', 'jump_d': '0.733584376', 'jump_c': '3.24520602', 'jump_b': '3.670448771', 'jump_a': '-0.344191164'}
{'opt_vel': '3.413749264', 'objective_value': '75.0451047', 'jump_d': '0.868424762', 'jump_c': '3.094882915', 'jump_b': '4.866135461', 'jump_a': '0.47196074'}
{'opt_vel': '3.592363643', 'objective_value': '75.24904004', 'jump_d': '1.556964306', 'jump_c': '2.285064385', 'jump_b': '4.983059093', 'jump_a': '1.904823478'}
{'opt_vel': '3.613621533', 'objective_value': '76.84039431', 'jump_d': '1.014643991', 'jump_c': '2.303889874', 'jump_b': '3.944975491', 'jump_a': '-0.302305486'}
{'opt_vel': '3.665426081', 'objective_value': '78.07479038', 'jump_d': '0.957709174', 'jump_c': '3.002450576', 'jump_b': '4.116143205', 'jump_a': '0.248432123'}
{'opt_vel': '3.344660413', 'objective_value': '78.40967833', 'jump_d': '1.220046518', 'jump_c': '2.496373866', 'jump_b': '4.450699346', 'jump_a': '-0.869199577'}
{'opt_vel': '3.382824558', 'objective_value': '78.96431853', 'jump_d': '1.489222862', 'jump_c': '2.59905956', 'jump_b': '4.997356214', 'jump_a': '0.08738397'}
{'opt_vel': '3.378201749', 'objective_value': '79.43115119', 'jump_d': '0.410447566', 'jump_c': '2.730322423', 'jump_b': '3.803124992', 'jump_a': '-0.851612845'}
{'opt_vel': '3.369636051', 'objective_value': '80.71598506', 'jump_d': '1.349068438', 'jump_c': '2.600876512', 'jump_b': '4.107366837', 'jump_a': '-0.681989731'}
{'opt_vel': '3.387862626', 'objective_value': '80.80267725', 'jump_d': '0.934323951', 'jump_c': '2.620684146', 'jump_b': '4.910225022', 'jump_a': '0.561404103'}
{'opt_vel': '3.313993361', 'objective_value': '81.78149634', 'jump_d': '1.046811528', 'jump_c': '1.976158055', 'jump_b': '4.811107492', 'jump_a': '-0.673489975'}
{'opt_vel': '3.638674095', 'objective_value': '81.95908122', 'jump_d': '0.5911748', 'jump_c': '2.832048955', 'jump_b': '4.773017878', 'jump_a': '1.054015178'}
{'opt_vel': '3.663502646', 'objective_value': '82.70757023', 'jump_d': '1.960108319', 'jump_c': '2.664314197', 'jump_b': '4.78402621', 'jump_a': '2.152007105'}
{'opt_vel': '3.374442668', 'objective_value': '82.77002394', 'jump_d': '0.403299313', 'jump_c': '3.02018705', 'jump_b': '3.737143482', 'jump_a': '-0.389777606'}
{'opt_vel': '3.66371628', 'objective_value': '83.89941336', 'jump_d': '0.339099177', 'jump_c': '2.81735359', 'jump_b': '3.661435857', 'jump_a': '-0.389295594'}
{'opt_vel': '3.680014294', 'objective_value': '85.36965369', 'jump_d': '0.115268752', 'jump_c': '2.718199624', 'jump_b': '3.262760172', 'jump_a': '-0.709183686'}
{'opt_vel': '3.34258948', 'objective_value': '87.16476823', 'jump_d': '0.278157447', 'jump_c': '2.860332097', 'jump_b': '4.919230036', 'jump_a': '0.862348781'}
{'opt_vel': '3.371742487', 'objective_value': '89.41954834', 'jump_d': '0.790582878', 'jump_c': '2.699358753', 'jump_b': '3.467395889', 'jump_a': '-0.264451116'}
{'opt_vel': '3.643767716', 'objective_value': '89.43030359', 'jump_d': '1.547777284', 'jump_c': '2.157422084', 'jump_b': '4.218627862', 'jump_a': '-0.134350705'}
{'opt_vel': '3.633848511', 'objective_value': '90.27141548', 'jump_d': '1.301029004', 'jump_c': '2.412150491', 'jump_b': '4.467239335', 'jump_a': '-0.582173386'}
{'opt_vel': '3.689756841', 'objective_value': '90.31565184', 'jump_d': '0.809545848', 'jump_c': '2.667663074', 'jump_b': '4.409535185', 'jump_a': '0.264449797'}
{'opt_vel': '3.755623902', 'objective_value': '94.29873034', 'jump_d': '0.572573391', 'jump_c': '3.199181627', 'jump_b': '3.245943432', 'jump_a': '-0.078361323'}
{'opt_vel': '3.692221473', 'objective_value': '95.81696166', 'jump_d': '0.585493044', 'jump_c': '2.843858198', 'jump_b': '3.569070915', 'jump_a': '-0.643695428'}
{'opt_vel': '3.336025333', 'objective_value': '95.82600461', 'jump_d': '0.723850091', 'jump_c': '2.823406604', 'jump_b': '-0.136169713', 'jump_a': '2.374867581'}
{'opt_vel': '3.318620717', 'objective_value': '96.48472799', 'jump_d': '1.580768127', 'jump_c': '2.633198534', 'jump_b': '4.958260186', 'jump_a': '0.615499662'}
{'opt_vel': '3.318853402', 'objective_value': '97.56230621', 'jump_d': '1.474786605', 'jump_c': '2.403502186', 'jump_b': '4.752986283', 'jump_a': '1.705513891'}
{'opt_vel': '3.310329381', 'objective_value': '99.22553665', 'jump_d': '0.368604353', 'jump_c': '2.400410464', 'jump_b': '4.975289243', 'jump_a': '-0.30214301'}
{'opt_vel': '3.362730116', 'objective_value': '99.29782584', 'jump_d': '0.728074429', 'jump_c': '2.941098384', 'jump_b': '4.567255341', 'jump_a': '0.795777523'}
{'opt_vel': '3.701056271', 'objective_value': '99.87934645', 'jump_d': '0.953260219', 'jump_c': '2.463811277', 'jump_b': '4.165704091', 'jump_a': '-0.617284342'}
{'opt_vel': '3.359925526', 'objective_value': '102.5606194', 'jump_d': '0.166444507', 'jump_c': '3.027857406', 'jump_b': '3.463757616', 'jump_a': '-0.136689856'}
{'opt_vel': '3.316167075', 'objective_value': '102.7144763', 'jump_d': '1.459527699', 'jump_c': '2.644408776', 'jump_b': '4.897229156', 'jump_a': '2.489256157'}
{'opt_vel': '3.238190145', 'objective_value': '103.7448295', 'jump_d': '0.123049458', 'jump_c': '1.807806814', 'jump_b': '4.960375134', 'jump_a': '0.313958823'}
{'opt_vel': '3.271837959', 'objective_value': '104.1155055', 'jump_d': '1.190246255', 'jump_c': '2.006093975', 'jump_b': '4.827186062', 'jump_a': '0.421965104'}
{'opt_vel': '3.751929298', 'objective_value': '109.4296921', 'jump_d': '0.617071361', 'jump_c': '3.117466779', 'jump_b': '4.459028334', 'jump_a': '1.045379951'}
{'opt_vel': '3.292385279', 'objective_value': '113.9135111', 'jump_d': '0.848773004', 'jump_c': '2.621537744', 'jump_b': '4.615160036', 'jump_a': '0.279367263'}
{'opt_vel': '3.69669615', 'objective_value': '119.1189271', 'jump_d': '0.670831495', 'jump_c': '1.846033451', 'jump_b': '4.890158347', 'jump_a': '4.001900506'}
{'opt_vel': '3.242194873', 'objective_value': '120.3823996', 'jump_d': '2.202322482', 'jump_c': '2.271221875', 'jump_b': '4.878736964', 'jump_a': '1.465139023'}
{'opt_vel': '3.290878813', 'objective_value': '124.6535202', 'jump_d': '0.260629851', 'jump_c': '3.222934929', 'jump_b': '4.755942524', 'jump_a': '0.24078176'}
{'opt_vel': '3.304365237', 'objective_value': '127.3086455', 'jump_d': '1.366910511', 'jump_c': '3.112353493', 'jump_b': '4.284075104', 'jump_a': '0.215448478'}
{'opt_vel': '3.215150558', 'objective_value': '132.5137239', 'jump_d': '2.197737288', 'jump_c': '2.554384071', 'jump_b': '4.886701637', 'jump_a': '2.385940662'}
{'opt_vel': '3.824874212', 'objective_value': '147.3294695', 'jump_d': '1.321162358', 'jump_c': '2.842146237', 'jump_b': '4.889689379', 'jump_a': '3.295974786'}
{'opt_vel': '3.797892854', 'objective_value': '156.032924', 'jump_d': '1.078920916', 'jump_c': '2.73400616', 'jump_b': '4.923601237', 'jump_a': '0.41258779'}
{'opt_vel': '3.874581917', 'objective_value': '176.6752675', 'jump_d': '2.233094621', 'jump_c': '2.675834232', 'jump_b': '4.990393719', 'jump_a': '2.651055523'}
