{'opt_vel': 3.4468043463141806, 'jump_a': 18.609745059196406, 'objective_value': 199.87109457798172, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.977774644805864, 'jump_a': 7.638210836924958, 'objective_value': 1222.2147811702353, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.163158390304115, 'jump_a': 6.119299134143855, 'objective_value': 353.0685943338218, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.4269587770376635, 'jump_a': 7.600328723829174, 'objective_value': 211.54740556079753, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.538760123510076, 'jump_a': 15.577006417822261, 'objective_value': 1169.0856953981947, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.7712360588116782, 'jump_a': 18.216547937229535, 'objective_value': 440.64715452508534, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.0102547866132277, 'jump_a': 15.90692573726298, 'objective_value': 371.3575226223369, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.955667082792779, 'jump_a': 11.038396652565085, 'objective_value': 111.2227606728858, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.235425505825498, 'jump_a': 15.02275198199268, 'objective_value': 875.8553294656506, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.6691225100299256, 'jump_a': 8.986021740839396, 'objective_value': 466.19326820878007, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.874061128502407, 'jump_a': 17.630892008713296, 'objective_value': 1462.5764193482887, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.4938511039500155, 'jump_a': 18.6825642108832, 'objective_value': 530.8554866470255, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.397422908276066, 'jump_a': 9.597409606892207, 'objective_value': 231.65367018052373, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.604405209340627, 'jump_a': 12.792276405293341, 'objective_value': 1360.2219202586466, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.6753565966489994, 'jump_a': 15.886089868619532, 'objective_value': 476.18859946190867, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.075691722614614, 'jump_a': 17.91738418369558, 'objective_value': 716.3376226422924, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.255113516103849, 'jump_a': 14.067777963431448, 'objective_value': 223.44286358478703, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
