{'opt_vel': 2.3513661318155927, 'jump_a': 17.225235203279922, 'objective_value': 82.62163623404756, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.277384469636283, 'jump_a': 13.522934522379616, 'objective_value': 1449.497648519192, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.085213685228757, 'jump_a': 2.0012390673944953, 'objective_value': 1370.8295069201868, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.8015877442647055, 'jump_a': 3.585331844193374, 'objective_value': 632.9084269746082, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.206000009723429, 'jump_a': 18.02982085184536, 'objective_value': 121.2244277705766, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.508459442172265, 'jump_a': 3.0776459645954413, 'objective_value': 1605.0279123436812, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.001412153924709, 'jump_a': 19.220926294032974, 'objective_value': 166.63780516772795, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.803739910267563, 'jump_a': 12.73892072528631, 'objective_value': 1988.3800316131371, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.405308849886442, 'jump_a': 12.92959110027133, 'objective_value': 335.5947340520868, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.3759167184350627, 'jump_a': 2.4281449725465833, 'objective_value': 400.2434550046397, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.151850813817621, 'jump_a': 7.705194658163331, 'objective_value': 1346.9949889093252, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.989935497731574, 'jump_a': 8.729811762528323, 'objective_value': 1758.8046822142892, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.58089352223056, 'jump_a': 6.040548671956964, 'objective_value': 453.4800391862284, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.1697986922054127, 'jump_a': 7.99401030447298, 'objective_value': 253.22259679030046, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.1046595026888117, 'jump_a': 9.678543886617213, 'objective_value': 213.15340011880275, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.562850791023556, 'jump_a': 13.94962916098078, 'objective_value': 400.89700461335565, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.5298027426918366, 'jump_a': 11.784325934259991, 'objective_value': 28.744266864798398, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.8641466596613236, 'jump_a': 19.554129071564706, 'objective_value': 508.8579965232277, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.233139324217604, 'jump_a': 14.761573448870486, 'objective_value': 101.08005302057332, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.1849192603283263, 'jump_a': 18.690351802227692, 'objective_value': 232.46396187903238, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.304491096725631, 'jump_a': 15.752058528295283, 'objective_value': 1418.0253604414934, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.163303185490081, 'jump_a': 15.944159484553616, 'objective_value': 1344.1640567136856, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.0524727879240565, 'jump_a': 6.409685406484154, 'objective_value': 137.10559172383037, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.49128951056559, 'jump_a': 18.41068704152656, 'objective_value': 1680.441478388659, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.926807879436469, 'jump_a': 5.397199216219129, 'objective_value': 1656.4370419747772, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.000542106983869, 'jump_a': 11.55750782448776, 'objective_value': 162.15939119069867, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.0024850334776576, 'jump_a': 2.6998258269294073, 'objective_value': 136.34910897069147, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.6171757655714507, 'jump_a': 11.938533065817158, 'objective_value': 35.33508210178524, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.692385772029047, 'jump_a': 11.559468340787426, 'objective_value': 43.54682984627768, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.553503359842018, 'jump_a': 11.777668415225179, 'objective_value': 10.63010354095979, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.8477824926210458, 'jump_a': 11.828151170741872, 'objective_value': 117.28465623985136, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.6317136753195958, 'jump_a': 11.743198028642245, 'objective_value': 29.224521870705026, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.625101080819852, 'jump_a': 11.19271078846467, 'objective_value': 31.058249950434234, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.5936322390637176, 'jump_a': 11.443183788055766, 'objective_value': 19.552356366732415, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.5806845963373504, 'jump_a': 11.793092405039427, 'objective_value': 10.941562408205435, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.5532600540302908, 'jump_a': 11.676908744774083, 'objective_value': 13.578363829394796, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.749955013165605, 'jump_a': 12.190897248785756, 'objective_value': 63.792153769676034, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.5639670115980495, 'jump_a': 11.727282909468828, 'objective_value': 12.101426585793332, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.5417362180878764, 'jump_a': 11.57371389320951, 'objective_value': 16.63581663420153, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.747265473180997, 'jump_a': 10.718356472903936, 'objective_value': 1069.4032177382915, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.0041343543030847, 'jump_a': 4.566374867996766, 'objective_value': 145.48536485475975, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.2225953976771744, 'jump_a': 15.986882148212231, 'objective_value': 232.72486047336213, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.0119515944645667, 'jump_a': 19.960631795611846, 'objective_value': 162.46399739715358, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.92588017542, 'jump_a': 17.339405884657243, 'objective_value': 562.956960279569, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.999713551588183, 'jump_a': 19.97587454925297, 'objective_value': 1937.6223299751612, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.004043566316942, 'jump_a': 8.767567274203824, 'objective_value': 159.38904910827915, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.002101672754739, 'jump_a': 13.412229334456079, 'objective_value': 167.8750755512864, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.001242724807309, 'jump_a': 10.272441680539753, 'objective_value': 166.39696659317954, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
