{'opt_vel': 3.798357411342338, 'jump_a': 10.710639749157577, 'objective_value': 217.04680334284097, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.613240248207266, 'jump_a': 5.430535377876079, 'objective_value': 281.217529133547, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.3925441641500136, 'jump_a': 17.3495950245564, 'objective_value': 22.65280176463502, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.6147884293313, 'jump_a': 6.932455475442505, 'objective_value': 823.6348834238948, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.3392348039724045, 'jump_a': 19.518440332096695, 'objective_value': 37.83875625371026, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.311868989812043, 'jump_a': 17.84165578115202, 'objective_value': 465.1666353452481, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.739117677948546, 'jump_a': 4.187074310146404, 'objective_value': 1386.6321747646477, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.884132854356616, 'jump_a': 2.687465708622196, 'objective_value': 315.73234123975135, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.259876976341954, 'jump_a': 18.721800774295197, 'objective_value': 398.4219267593532, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.822966704051633, 'jump_a': 5.395611309713489, 'objective_value': 351.0878512188789, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.438282334759735, 'jump_a': 2.1710314349272384, 'objective_value': 128.94676180861285, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.718582819260218, 'jump_a': 15.236106436886553, 'objective_value': 1646.7861430536802, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.16532311722506, 'jump_a': 9.560581047834734, 'objective_value': 407.9831142185843, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.401898293026766, 'jump_a': 8.054070511655585, 'objective_value': 46.54722619981909, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.724695514542852, 'jump_a': 4.101869988774601, 'objective_value': 227.31889255812212, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 5.042364065018447, 'jump_a': 8.732152425422765, 'objective_value': 1048.8841548724768, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.3807871209416267, 'jump_a': 10.842838476311663, 'objective_value': 31.648417150511158, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.950019253024807, 'jump_a': 5.178069982322775, 'objective_value': 442.816372865659, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.0714079125266505, 'jump_a': 7.084517454300917, 'objective_value': 431.5320261566507, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.516595002148084, 'jump_a': 17.745907368584998, 'objective_value': 547.6558696560922, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.6326477975418565, 'jump_a': 18.05721320894143, 'objective_value': 301.61670360059395, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.568886317992965, 'jump_a': 19.277643386800403, 'objective_value': 305.7994308535617, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.7865837713855033, 'jump_a': 9.539965415251299, 'objective_value': 237.89670496038275, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.767503752690643, 'jump_a': 12.214387890437745, 'objective_value': 239.02214852334095, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 4.254047995019589, 'jump_a': 10.454479621766481, 'objective_value': 482.0635871029463, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.774354652329358, 'jump_a': 19.97714372632749, 'objective_value': 183.9299287761396, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 2.876593933373335, 'jump_a': 7.722178291661544, 'objective_value': 199.18327182634422, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.130296207120493, 'jump_a': 16.931394612934426, 'objective_value': 129.35079417033288, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
{'opt_vel': 3.127001763445852, 'jump_a': 10.946829450039719, 'objective_value': 130.53948195704263, 'jump_b': 0, 'jump_c': 0, 'jump_d': 0}
