{'opt_vel': 2.8363530944622912, 'objective_value': 129.042994042, 'jump_d': 3.1345350855787024, 'jump_c': 3.423924468346243, 'jump_b': -4.960700360100629, 'jump_a': 0.17064740055883654}
{'opt_vel': 2.4130551966391307, 'objective_value': 25.6101226645, 'jump_d': 3.459574806466827, 'jump_c': 3.240025566145672, 'jump_b': -4.780068651124859, 'jump_a': -0.2813875115403741}
{'opt_vel': 2.2661173159918024, 'objective_value': 55.2420497516, 'jump_d': 3.1145467855349294, 'jump_c': 2.741688102017604, 'jump_b': -4.882331629130528, 'jump_a': -0.12628650555528775}
{'opt_vel': 2.054867447274863, 'objective_value': 121.020382524, 'jump_d': 3.2194252855855323, 'jump_c': 3.0768264714771103, 'jump_b': -4.929700505524075, 'jump_a': -0.3516745190699053}
{'opt_vel': 2.722922190137313, 'objective_value': 114.355231727, 'jump_d': 3.4977476803348906, 'jump_c': 2.693376920157071, 'jump_b': -4.8428947434296905, 'jump_a': 0.014277633697759029}
{'opt_vel': 2.5577106071476305, 'objective_value': 46.0764346285, 'jump_d': 2.8754959326061913, 'jump_c': 3.3019903602087606, 'jump_b': -4.753334398582747, 'jump_a': -0.30375576954234873}
{'opt_vel': 2.1623296970234214, 'objective_value': 84.8938382506, 'jump_d': 3.06507418477198, 'jump_c': 3.0487417460834383, 'jump_b': -4.6306723804833325, 'jump_a': -0.06459504650886316}
{'opt_vel': 2.753153911594938, 'objective_value': 125.98695022, 'jump_d': 2.8627006573470677, 'jump_c': 2.7707692202453966, 'jump_b': -4.509569056699688, 'jump_a': -0.5326923013638911}
{'opt_vel': 2.8733973183772377, 'objective_value': 146.219972542, 'jump_d': 2.5928382316235843, 'jump_c': 3.136198604563468, 'jump_b': -4.830392455968281, 'jump_a': -0.3829648733968991}
{'opt_vel': 2.208385838230609, 'objective_value': 75.306129472, 'jump_d': 3.341021064559486, 'jump_c': 3.2250339930213805, 'jump_b': -4.566793540793626, 'jump_a': -0.17875531655243648}
{'opt_vel': 2.3118841107939088, 'objective_value': 45.0184973803, 'jump_d': 3.118899642756776, 'jump_c': 3.0326623609478798, 'jump_b': -4.5478205266354985, 'jump_a': 0.005938019908984238}
{'opt_vel': 2.801754496690587, 'objective_value': 116.378994507, 'jump_d': 2.872621407095645, 'jump_c': 3.3336483194462723, 'jump_b': -4.894799052990929, 'jump_a': -0.23837149860382034}
{'opt_vel': 2.586999350133352, 'objective_value': 54.8389705414, 'jump_d': 2.6970021993285207, 'jump_c': 3.0478766706470193, 'jump_b': -4.744803158967496, 'jump_a': -0.621845116805753}
{'opt_vel': 2.6358203648587084, 'objective_value': 64.3736694979, 'jump_d': 3.3428300600013263, 'jump_c': 3.2225919373853014, 'jump_b': -4.8526705889732575, 'jump_a': 0.3414173854490876}
{'opt_vel': 2.599939809798547, 'objective_value': 55.0122876506, 'jump_d': 3.4602980213817194, 'jump_c': 3.2664193732034636, 'jump_b': -4.582347786462446, 'jump_a': -0.26650320870799327}
{'opt_vel': 2.5035848528916085, 'objective_value': 35.871527622, 'jump_d': 3.2850666907917643, 'jump_c': 2.8771779315342494, 'jump_b': -4.70294925902442, 'jump_a': -0.07601466922387701}
{'opt_vel': 2.5962829806978442, 'objective_value': 45.426473224, 'jump_d': 3.4791481558186494, 'jump_c': 3.356623692883252, 'jump_b': -4.987473460578796, 'jump_a': 0.13512568792344481}
{'opt_vel': 2.445985587859577, 'objective_value': 14.2184479804, 'jump_d': 2.983876157865836, 'jump_c': 3.082979108277872, 'jump_b': -4.400708940580448, 'jump_a': 0.26969357735640465}
{'opt_vel': 2.488885942374846, 'objective_value': 15.398116338, 'jump_d': 3.3500974353324704, 'jump_c': 3.1251176868857993, 'jump_b': -4.797480327404193, 'jump_a': 0.19006450845016154}
{'opt_vel': 2.715757176773569, 'objective_value': 108.89684877, 'jump_d': 2.9745964502905546, 'jump_c': 2.8367580554270457, 'jump_b': -4.845779348463854, 'jump_a': 0.23145186046210853}
